id,num,num5,num6,num7,num8,year,year2,boolean,boolean2,blank,City,City2
84,10,14,54,,36,1994,2008,true,true,,,Peachland
85,46,14,43,37,76,2006,1997,true,true,,Figueiredo,Pushkinskiye Gory
86,90,10,22,2,72,2009,1993,false,false,,Boca Raton,Ollantaytambo
87,68,,54,54,13,1999,,true,false,,Portão,Boston
88,93,44,42,,45,2008,2002,false,,,Södertälje,Norrköping
89,28,83,24,54,54,1994,1997,false,true,,Utsunomiya-shi,Vřesina
90,14,,61,4,85,2008,1999,false,false,,Kysyl-Syr,Xinshichang
91,65,,59,,81,1996,2004,,,,Kavýli,København
92,87,,20,,60,1999,2009,false,false,,Alacaygan,Palmira
93,17,80,43,,8,1993,,false,true,,,Podstepki
94,37,71,50,66,43,2002,,true,true,,Jiangjing,Kumo
95,65,,17,,41,2010,,false,false,,Tanout,Sylvan Lake
96,13,,49,97,52,2008,2003,false,true,,Phu Kam Yao,Vyborg
97,33,5,78,,35,2008,,,true,,New Mīrpur,Myronivka
98,37,25,3,,96,1998,2005,true,false,,Jujur,Senhor do Bonfim
99,67,9,43,43,17,2012,1994,false,,,Linköping,Qarāwat Banī Zayd
100,,,75,,45,2000,2007,false,false,,Ribas,Krasnotorka
101,86,19,5,,65,2010,1997,true,true,,Guanzhou,Bolhos
102,15,43,11,80,70,2005,1994,false,,,Ocaña,Ciego de Ávila
103,13,57,23,,41,2002,2008,true,true,,Anār,Pombos
104,55,,38,67,98,2010,1994,false,true,,,
105,28,,66,26,10,2001,2005,true,,,Vallecillo,Rongmei
106,48,68,96,,21,2008,1984,false,false,,Jianshan,Ami
107,15,,17,17,57,1986,1994,false,true,,Mozdok,Ning’an
108,77,35,58,77,2,1994,,false,false,,Sanhe,Pitanga
109,,51,80,,31,2002,2007,true,true,,Toshloq,Oklahoma City
110,13,90,67,,75,2002,,false,,,Lebak,Henghe
111,49,22,57,,,2008,2007,false,,,Danzao,Mancos
112,70,53,73,,34,1999,1992,,,,Az Zarqā,Smolyan
113,,27,48,,18,2006,2008,true,,,Wulan,Jaruco
114,55,,98,78,50,1997,2008,,false,,Krajanbonjor,Ayna
115,74,87,83,,56,1992,2010,true,,,Kalabahi,Belén de Umbría
116,23,56,70,,,1985,,,,,Banxi,Nizhniy Lomov
117,20,35,58,66,85,1996,1994,false,,,Jambesari,Jungutbatu Kaja Dua
118,35,51,44,50,48,1996,1995,true,true,,El Almendro,Kradinan
119,39,23,19,16,94,1995,2008,false,false,,Kuching,Mancha Khiri
120,57,53,30,,47,1999,1992,true,,,Baltiysk,Reforma
121,91,,33,98,39,2004,1997,true,false,,Santiago,Wonokromo
122,44,59,82,,100,2008,1999,true,false,,Honolulu,Drenova
123,,93,87,,83,1997,2011,true,true,,Bull Savanna,Krajan Langenharjo
124,92,,25,17,76,2009,2003,,true,,Arevshat,Krajan
125,16,27,41,23,38,2005,2004,true,false,,Banjar Serangan,Gigant
126,,,100,16,48,1999,2011,true,,,,Rongwo
127,58,,89,55,5,2009,1996,true,false,,Kon Tum,Chvalšiny
128,1,22,92,,47,2005,2008,true,true,,Chanika,Mali Iđoš
129,3,,72,87,86,1995,1993,false,true,,Washington,Imulolong
130,83,12,10,,61,1999,1999,true,true,,Lazaro Cardenas,
131,,94,56,,68,2002,1997,false,false,,Tuanlin,
132,46,47,18,31,24,1989,2010,false,true,,Ludgeřovice,Shamkhor
133,87,77,53,,3,2005,,,true,,Houzhai,Batujaran
134,,93,60,17,10,1990,1992,false,,,,Mondokan
135,22,39,17,,1,1958,,false,false,,Czeremcha,Nis’oni
136,,17,11,68,50,2010,2005,false,,,Anchau,Babakankalong
137,,55,7,,,1994,2001,,,,Temirtau,Mtinko
138,84,15,72,,33,1987,,,true,,Sarrat,Sasayama
139,,80,11,,69,2005,2004,,,,Berlin,Buôn Ma Thuột
140,53,38,87,,41,1972,1994,,true,,Krajan Karanganyar,Manūjān
141,9,86,14,,15,2012,,false,,,Outeiro,Yimnón
142,53,,79,,63,2003,,false,,,Luchegorsk,Anmore
143,96,61,99,19,51,2006,2001,false,true,,Jeleuk,Niort
144,35,24,70,,84,2010,2000,false,false,,Achiaman,Dayangzhou
145,52,12,61,88,12,2012,2002,true,false,,Wonotirto,Atins
146,29,47,82,,65,1997,,true,,,Petroúpolis,Timmins
147,90,66,66,52,90,2003,,false,false,,Hongguang,
148,73,6,58,74,87,1992,,true,,,,Waśniów
149,79,27,61,,98,2011,2009,,true,,,Géfyra
150,77,,20,95,29,2001,2005,false,false,,Dzhankoy,Shengping
151,62,48,66,38,69,1998,2011,true,true,,,Don Mueang
152,37,32,100,,8,2010,,,,,Stoczek Łukowski,Ajasse Ipo
153,56,,87,,17,2006,2011,false,false,,Kuchurhan,
154,31,64,95,9,5,1998,1999,false,true,,Leština,Olonets
155,60,69,100,,77,1995,2001,true,,,Bantiran,Gunan
156,5,,80,29,53,1993,1996,false,false,,Quilpué,Teslić
157,87,63,62,,39,2006,2007,false,false,,Truskolasy,Gubskaya
158,,14,76,,91,1995,1966,true,false,,Chidian,Penja
159,92,24,92,93,6,2007,1998,false,true,,Kasserine,Kulonkali
160,37,,25,28,72,1992,1968,false,false,,To’rtko’l Shahri,Sabandia
161,57,,93,,66,2005,1994,,,,Passos,Malati
162,72,35,78,39,52,2007,2012,true,true,,,Arujá
163,88,19,3,58,66,1989,,false,true,,Praia da Vitória,Lunsar
164,91,84,3,,96,2006,1998,false,true,,Dongjiahe,Norakert
165,,57,11,,86,1993,2001,true,false,,Longquan,Layo
166,56,54,52,,44,1993,1986,true,false,,Santa Cruz de El Seibo,Dārayyā
167,5,,65,,74,2006,2009,true,false,,Lammi,Esso
168,100,48,1,20,40,2001,1984,true,false,,Shuya,Det Udom
169,26,,18,11,38,2000,2005,,true,,Poigar,Aricagua
170,19,77,40,22,98,1988,2005,,false,,El Refugio,Ifakara
171,66,,20,,,2003,1989,false,,,Chengguan,Villa Aglipay
172,46,,7,95,79,1987,2008,true,true,,Puntaru,Cabo de Vila
173,20,,68,,75,2004,1986,true,true,,Huangben,
174,,10,43,,98,1999,2008,true,false,,Benger,Sanmiaoqian
175,4,,73,95,86,2006,1995,false,true,,Huangmei,Jiji
176,6,55,43,22,89,2000,2008,false,,,Raffingora,Krajanbonjor
177,19,56,11,79,45,1992,1979,true,false,,Haoxue,Mvomero
178,29,41,82,,20,2002,,true,false,,Flen,Aquiraz
179,59,44,28,38,41,2005,1988,true,,,Gonça,Xiangtan
180,50,14,81,8,24,2004,1988,false,,,Xiaolin,Jinshan
181,86,69,21,,94,2011,2007,true,,,Chizhou,Ewarton
182,13,90,24,3,61,2000,,true,,,Yantak,São Sepé
183,89,,97,,25,2003,2001,true,true,,Staryy Sambor,La Sabana
184,22,,43,96,23,1990,2002,false,true,,Kuče,Candelaria
185,93,71,100,47,9,2005,2001,false,false,,,Makurdi
186,73,55,80,21,41,2000,2000,true,true,,Meghrashen,Bariri
187,42,11,41,,49,2006,2008,true,false,,Dayton,Chengxiang
188,81,98,81,,11,1990,2005,true,,,,Wanling
189,56,65,34,,53,2001,1991,true,false,,Maliq,Ribeira Grande
190,,45,82,,47,2008,2007,false,true,,Binguang,Baykonyr
191,,5,92,,20,2005,2012,true,true,,Shangani,Kalynivka
192,64,67,88,,32,2008,1995,true,true,,Sokolac,Atamanovka
193,62,95,27,28,93,2005,2002,false,false,,,Mae Ramat
194,72,44,85,55,39,2011,2002,true,false,,Lebel-sur-Quévillon,Devin
195,7,28,90,84,50,2005,1998,false,false,,Krasnokholm,Huangtu
196,,73,55,89,73,2007,1993,true,true,,Bla,Kidal
197,,14,45,,1,1997,1967,true,false,,Sundbyberg,Uptar
198,96,,68,73,52,1996,2007,false,true,,,Klenak
199,1,57,95,,99,2003,2002,true,true,,Vanves,Iwade
200,13,46,44,,61,2001,1996,true,true,,Galleh Manda,Kharkiv
201,32,,94,30,72,2007,1996,false,false,,,Strohonivka
202,92,89,6,42,38,2011,1984,false,false,,Yuta,Vera
203,1,93,43,95,52,2011,2008,true,false,,Houndé,Birendranagar
204,60,52,13,,65,2000,2012,false,false,,Cotuí,Bayt Sāḩūr
205,90,2,14,22,92,2008,2000,false,false,,Andrézieux-Bouthéon,Lianglin
206,13,48,16,43,6,2002,1990,false,true,,Shimen,
207,57,69,65,68,92,2007,2011,false,,,Jorong,Rouen
208,,13,84,36,3,2007,2011,,true,,,Shuangnian
209,69,66,48,,72,2005,2010,,false,,Xinminxiang,Weyburn
210,83,60,97,,41,1986,2001,false,true,,Sigiriya,Lyudinovo
211,34,,94,3,7,2011,2002,,false,,Bultfontein,Tipitapa
212,92,,1,,90,1995,2008,true,true,,Nikol’sk,Józefów
213,67,90,84,,90,1997,1988,,false,,Xuanhua,Mahanoro
214,37,72,9,,38,2009,1992,true,false,,Santa Cruz,Tame
215,,8,58,28,35,2008,1988,true,false,,Sananduva,Riosucio
216,73,17,63,3,68,2007,,false,,,Sagua de Tánamo,Solna
217,,28,95,,33,2009,2006,true,true,,,Chunhu
218,40,58,34,35,62,1993,,true,true,,Santa Cruz,Huaquillas
219,88,85,70,87,13,1999,2006,true,false,,Jianshe,Tacoma
220,27,,28,12,7,1988,1988,false,true,,Santo Niño,Shuiquan
221,14,57,58,,24,2006,2006,true,true,,Dimitrovgrad,Maicao
222,97,78,2,34,63,2004,1998,false,false,,Coripata,Granada
223,13,,75,,,1984,2009,true,false,,Sadov,Ţalkhā
224,36,,80,,,1997,1996,,false,,Pomar,Portland
225,68,90,35,77,19,1993,2001,false,,,Pines,Osoyoos
226,4,80,57,94,18,1988,2007,true,,,Bibis,Xiaheqing
227,59,58,83,,21,1998,2004,false,,,Besançon,Namangan Shahri
228,21,14,65,91,72,2008,1991,false,false,,Naḥf,Jawand
229,,,34,,96,2010,2007,true,true,,,Huaitu
230,16,10,66,,97,1967,2009,false,true,,Lazaro Cardenas,Novokhovrino
231,11,,12,74,53,1992,2011,false,false,,Saga,Chernomorskiy
232,21,12,71,,93,1986,1985,false,false,,Mutatá,
233,67,,1,46,77,2009,2001,true,,,Cotabato,Couço
234,83,24,67,61,33,1992,2009,true,,,Curitibanos,Baolong
235,69,,47,81,87,2013,,false,,,As Suqaylibīyah,Rejoyoso
236,43,28,83,94,48,2002,2005,true,true,,Taremskoye,Bastia
237,13,74,71,52,4,2012,2005,true,true,,Orléans,Ghazni
238,54,82,67,,,2009,1995,true,false,,Thủ Thừa,
239,70,24,14,77,41,1998,2000,false,false,,Isulan,Fruitvale
240,26,,53,57,4,1992,1997,true,true,,Novopavlovsk,Jiangcheng
241,82,37,6,85,31,2007,1997,true,false,,Khairpur,Xishui
242,3,14,36,77,4,2009,2010,false,false,,Rustāq,Novaya Igirma
243,34,63,45,,3,1988,2011,true,true,,Rurrenabaque,Tsyelyakhany
244,,61,17,44,34,2005,2009,true,,,Norsborg,Sukaraja
245,14,8,6,12,78,1990,2002,true,,,Zibreira,Unión
246,,85,9,,91,2012,2005,true,true,,San Carlos,Lenger
247,97,98,82,,93,2009,1984,false,false,,,Vredendal
248,64,,28,,44,2004,1998,false,false,,Mendez-Nuñez,Toungo
249,58,,80,,90,1997,,true,false,,Síkinos,Sierpc
250,93,87,60,,22,1998,2001,,,,Roches Noire,Volksrust
251,55,35,47,,47,2004,2011,false,true,,Caldelas,Simpang
252,46,,43,68,83,1999,2002,false,,,,Sambong
253,24,57,33,,25,1989,2002,,true,,San Francisco,Banqiaodian
254,28,47,34,,15,1992,,false,true,,,Mesker-Yurt
255,39,43,75,95,18,2007,1998,false,false,,Xinba,Lanyi
256,60,77,23,,3,2001,1997,false,false,,Alverca do Ribatejo,Le Hochet
257,38,22,43,1,57,1993,,true,,,Dongbatu,Hengfan
258,37,,16,23,23,2003,2006,false,true,,,Kotovs’k
259,79,,88,31,4,2002,1994,true,,,,Luocun
260,65,31,55,37,65,2004,2002,false,false,,Icheon-si,Hanyuan
261,81,39,9,,61,1998,1994,true,,,Bāmyān,Patquía
262,52,63,72,,46,1995,1993,false,false,,Kurye,Káto Glikóvrisi
263,15,82,60,,,2010,1967,true,true,,Jēkabpils,Chemodanovka
264,56,26,58,,55,2013,1990,false,false,,Bedford,Viligili
265,72,,88,,18,2003,2005,true,true,,Retenggoma,Petropavlovskaya
266,82,39,10,,95,2008,2004,true,,,Kuala Terengganu,Malgobek
267,,,47,,89,1995,,true,false,,Villa Ocampo,Oebaki
268,2,76,84,,79,1994,1990,false,false,,Malianzhuang,Viso
269,99,,79,,35,2011,1993,true,,,Changtan,Bambas
270,37,56,89,,97,2011,,true,false,,Lapas,Al Maţarīyah
271,,22,14,,86,2010,2012,false,false,,Pradera,Puerta de Corral Quemado
272,95,,47,,85,1998,,true,,,Solikamsk,Skelivka
273,35,92,85,68,11,2012,2012,,,,Shuishaping,Póvoa
274,,81,68,,17,2004,1992,false,false,,Koslan,Qom
275,13,25,19,76,2,1993,1993,true,false,,Zhongzhai,Benavila
276,50,74,79,83,1,2007,2001,true,true,,Gnieżdżewo,Krajan Satu
277,4,98,73,72,58,2006,1999,false,,,Cibinong,Huskvarna
278,31,62,55,66,4,1997,2006,false,,,Karlskoga,Helmas
279,56,57,96,,79,2008,1994,false,false,,Arnage,Hankasalmi
280,14,28,14,44,18,2002,1909,false,,,Soukkouma,Xiaping
281,21,,2,,37,1991,2008,false,,,Buinsk,Kunyang
282,100,2,17,,26,1997,2003,false,false,,Sydney,Changzheng
283,49,79,56,,85,2003,1995,false,false,,Latowicz,Mbale
284,4,,37,,39,2005,1992,false,true,,Sabtang,Leran
285,98,,74,,19,2011,1995,true,true,,Pringgoboyo,
286,35,22,26,,,1995,,false,true,,Wailang,Dukla
287,79,20,23,31,45,2012,2007,,false,,Hradec Králové,Windsor
288,55,8,77,53,50,2011,,true,false,,Romny,Aquin
289,34,60,84,55,23,1993,1997,false,true,,Castainço,
290,32,99,20,,66,1992,,false,,,,Priiskovyy
291,23,44,91,,60,2008,2003,true,true,,,Alvito de São Pedro
292,98,37,33,,44,2000,1993,false,true,,Xiangshui,Wang Hin
293,48,46,19,40,98,1993,2010,false,true,,,L'Aigle
294,82,84,51,,70,1989,1997,false,true,,,Aozou
295,90,,100,11,23,1996,2005,true,false,,Cezi,Jidong
296,47,62,85,41,81,1992,2005,false,true,,Pakemitan,Bengubelan
297,44,15,6,,36,2012,2011,true,,,Mekarsari,Tyresö
298,90,92,12,,54,2007,2009,,true,,Khabarovsk,Lākshām
299,65,66,24,,5,2008,1978,false,,,Guarumal,Wola Rębkowska
300,90,13,82,,32,2008,1994,,false,,Ábidos,Cocobeach
301,94,,74,23,77,2002,1960,false,false,,Vila Moreira,Mossoró
302,39,97,40,,3,2011,1965,true,false,,Mîndreşti,Jakšić
303,100,,50,,38,2003,1992,true,true,,Senta,Huangshi
304,,79,68,8,27,1983,1995,true,false,,Grekan,Landskrona
305,71,,87,63,37,2002,2008,true,,,,Lap Lae
306,20,94,63,77,80,1994,1991,true,false,,Tolosa,Ambatondrazaka
307,93,53,35,,2,1992,1997,true,,,Zumiao,Brejos
308,14,18,53,20,17,1993,2005,true,true,,Karanyowka,Uchaly
309,22,,62,,24,2010,2008,false,true,,Pule,Patsi
310,,8,87,8,22,1995,2008,true,false,,Karlstad,Brylivka
311,71,78,24,,89,2012,2003,true,true,,Matelândia,
312,6,48,90,76,32,1993,,true,true,,Shalamzār,Qaryat ad Da‘īs
313,52,84,43,,18,1992,,,false,,Sa Kaeo,Guan’e
314,83,62,19,,89,2003,2009,true,false,,Shazikou,Cambita Garabitos
315,16,,21,,67,2011,2010,true,,,Ljupina,Chambéry
316,24,88,2,,25,1995,,true,,,Negla,Ban Dung
317,41,69,44,78,24,2005,2000,false,true,,San Agustín,Chezhan
318,44,43,5,79,90,2002,2003,false,,,,Lápas
319,45,61,4,,94,1997,2008,false,,,Liangli,Bhamo
320,34,61,79,5,59,2012,1996,false,true,,,Minador do Negrão
321,31,,28,,,2000,1995,true,true,,Catujal Velho,Chachoengsao
322,69,45,30,10,56,1994,2000,true,false,,Jahāniān Shāh,Colomi
323,36,53,46,,38,2000,2001,false,false,,Mina de São Domingos,Aniva
324,33,37,3,,2,2000,2003,true,true,,Lianzhu,Haolaishan
325,10,71,8,,89,1995,1996,true,,,Thành Phố Nam Định,Kakamas
326,38,1,67,,6,1997,,false,false,,Vista Hermosa,Markušica
327,67,7,84,65,6,1995,2005,false,false,,Istres,
328,84,,53,,47,2003,2006,false,true,,,Garnich
329,44,21,78,,57,1996,1987,true,,,Gangmei,San José
330,,45,75,,43,2013,2002,true,false,,Fuyang,Mafra
331,20,,4,,66,1999,1989,,true,,Chợ Lầu,Bolian
332,59,53,96,48,18,1998,2001,true,true,,Bunol,Mörön
333,15,52,78,,45,1999,,true,false,,Klole,Raci Kulon
334,96,,59,97,5,1997,,false,true,,Esigodini,Krimpen aan den IJssel
335,67,81,28,31,4,2003,2011,true,false,,,Sanshui
336,40,65,75,64,71,1997,2006,false,,,Charlottesville,Charyshskoye
337,,44,77,,32,2003,,true,false,,Vila Verde,Jincheng
338,82,40,55,,72,2010,1996,true,true,,Philadelphia,Glugur Tengah
339,23,12,65,53,51,2009,1992,true,false,,Jatake,Matsubara
340,96,96,19,63,27,1993,1985,false,false,,Dabou,Jefferson City
341,24,46,54,,87,1993,2004,false,true,,Hualin,Clermont-Ferrand
342,,36,90,37,24,2006,1994,false,false,,Ludvika,Tianta
343,46,87,12,45,54,2012,1993,false,false,,Nosy Varika,Salogon
344,43,80,50,,28,1988,,true,,,Kotingnatagete,Calasgasan
345,15,,68,,49,2007,2000,true,true,,,Jilin
346,11,,55,10,37,2008,2002,true,false,,Nizhnevartovsk,Cloyne
347,64,81,37,,66,2008,1989,true,true,,Aş Şanamayn,Solna
348,97,7,42,,82,2000,2005,false,false,,Marquard,Venustiano Carranza
349,91,27,85,,48,2004,2010,true,false,,Weiyuankou,Emiliano Zapata
350,45,15,6,,25,2012,,true,true,,,Lamotrek
351,76,55,46,70,4,2004,2005,true,true,,,Mekarsari
352,26,60,15,,98,2006,1988,true,,,Baiquan,Krajan Selatan
353,75,6,61,39,54,2010,1993,true,false,,Rotterdam postbusnummers,Darvi
354,5,,45,,,2008,2007,true,,,Penglai,Dishnā
355,7,64,15,37,27,2003,2004,false,true,,,Księżpol
356,77,22,92,41,47,2000,1997,false,true,,Pandansari,Hougong
357,18,25,32,,68,2006,1997,false,false,,Nagasari,General Vedia
358,57,100,79,86,1,2012,2004,false,false,,Colomiers,Reguengos de Monsaraz
359,18,95,71,,43,2002,,true,,,Roanne,Sukorambi
360,12,44,14,,55,1994,1999,false,,,Checun,Jiaoqi
361,29,38,35,,23,2008,2012,true,,,Buracan,Dakoro
362,80,39,69,2,35,2009,2013,false,true,,Saint Hubert,Yingta
363,24,52,55,,89,2005,2010,true,false,,Zilang,Kamenjane
364,29,82,49,,35,2004,2004,false,true,,Duishan,Dū Laīnah
365,3,56,2,98,67,2004,2012,true,,,Pojan,San Manuel
366,3,4,88,,40,2011,2003,false,false,,Kashar,Antipolo
367,15,,94,,72,1986,,false,true,,Van Nuys,
368,56,13,50,2,35,1993,2010,true,false,,Trelleborg,Zhenyuan
369,,,74,,71,2012,1993,true,false,,Popovo,Huwan
370,88,77,38,,87,2003,2004,false,false,,Yono,Pucangkrajan
371,38,,34,10,70,2008,2003,true,,,,Kangin
372,25,77,19,19,44,1994,1988,false,false,,Potęgowo,Narowlya
373,8,20,18,87,69,1998,1992,false,true,,Sabang,Saray
374,58,,87,,57,1993,2006,false,,,Palca,
375,40,6,100,,49,2008,1997,true,,,Novaya Usman’,
376,90,,52,,24,2003,2011,true,true,,Puerto Francisco de Orellana,Talas
377,91,51,43,,85,2003,1996,true,,,,Betulia
378,99,88,53,,53,1995,2009,false,,,Svitlovods’k,Yako
379,,13,47,16,57,2012,1984,true,false,,Ishikawa,Paleran
380,7,87,48,,92,1989,,true,false,,Tlogocilik,Dogonbadan
381,37,77,16,13,5,1992,1989,,true,,,Altagracia de Orituco
382,52,33,33,,66,2007,2002,false,false,,Pepe,Depapre
383,44,28,27,,8,1985,,true,,,Caldelas,Qinnan
384,53,47,82,,85,2012,2011,false,true,,Malalag,Niechanowo
385,87,,55,84,76,2000,2006,true,true,,Xiaochuan,Imeni Zhelyabova
386,63,26,71,,18,2009,1998,true,false,,Yerofey Pavlovich,
387,75,77,60,,85,2010,2002,false,true,,Tabuaço,Arcachon
388,32,95,54,76,8,2009,1987,,,,Yangjia,Guaíba
389,56,7,38,17,99,1995,1996,true,false,,Broska,Bringinanom
390,32,94,1,,48,1992,1993,false,false,,,Ban Lŭng
391,22,46,21,,43,2007,1990,true,true,,Razgrad,Layo
392,,,13,,94,2000,1991,false,,,,Sucre
393,92,59,81,,28,2006,2009,,false,,Dadoupu,Woippy
394,5,56,57,,45,1999,2004,true,false,,Rivesaltes,Wangzha
395,25,45,11,,86,1993,2000,false,,,,Nekrasovka
396,84,,10,59,71,2007,1996,false,false,,Bulasa,Palkovice
397,43,69,66,61,25,2012,2006,false,,,Pahārpur,Villa Urquiza
398,61,,77,,4,1963,1995,true,,,Pouébo,Sundbyberg
399,51,81,23,38,57,2011,2006,true,false,,,Pa Tio
400,25,5,93,94,38,1998,1985,true,true,,Boyany,Macon
401,44,61,55,98,31,2001,,,false,,Jatinagara,Tirana
402,20,,31,,95,2010,2007,false,false,,Tignapalan,Senduro
403,39,62,82,56,95,1997,,false,,,,Sanjiang
404,90,86,4,17,36,2005,2008,false,false,,Rennes,Sandachō
405,5,25,63,,77,2003,2008,true,true,,,Uga
406,38,95,51,,26,2002,,true,,,,San Juan del Cesar
407,41,78,62,,81,2004,2008,true,true,,Manaloal,Ribnica na Pohorju
408,50,,59,100,80,2012,,true,false,,Volochys’k,Zerkten
409,2,23,37,,62,2002,1997,,false,,Pereiros,Pokrovskoye
410,97,41,67,,53,1992,2011,,true,,Waipukang,Göteborg
411,6,29,67,,,2002,2004,true,false,,Winburg,Wangtai
412,91,96,63,78,65,1993,2004,false,false,,Olyka,Sakai-nakajima
413,,40,67,,20,2011,,true,true,,,Parigi
